id;cep;logradouro;complemento;numero
1;customized Filmes Strategist;Forward Unidos;Peixe e-markets;51401
2;Plástico back-end Eletrônicos;Avenida Integration;ouro bandwidth-monitored;33750
3;synthesizing prata;Plástico;Personal deposit;8695
4;cross-platform Account mão;Corporate sticky;Borracha connecting;21695
5;Inteligente markets Inteligente;Namibia Bacon Quetzal;Crianças;28468
6;visualize Queijo;calculate;backing;10598
7;Stand-alone;Mesa communities;Gostoso Account;79434
8;Principal Rodovia digital;Technician logistical Impressionante;back Alameda;34260
9;function;Travessa;proactive Chief connecting;97868
10;reciprocal Rústico;cenoura Namibia;açafrão;58173
